zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
15655,"LAUGHLINTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,LAUGHLINTOWN,PA,WESTMORELAND
15670,"NEW ALEXANDRIA, PA",813///,3,N,N,N,N,N,N,N,N,N,NEW ALEXANDRIA,PA,WESTMORELAND
16059,"VALENCIA, PA",611///,3,N,N,N,N,N,N,N,N,N,VALENCIA,PA,BUTLER
19079,"SHARON HILL, PA",813///,3,3,N,N,N,N,N,N,N,N,SHARON HILL,PA,DELAWARE
16028,"EAST BRADY, PA",813///,3,N,N,N,N,N,N,N,N,N,EAST BRADY,PA,CLARION
15951,"SAINT MICHAEL, PA",813///,3,N,N,N,N,N,N,N,N,N,SAINT MICHAEL,PA,CAMBRIA
15931,"EBENSBURG, PA",611///,3,N,N,N,N,N,N,N,N,N,EBENSBURG,PA,CAMBRIA
19094,"WOODLYN, PA",611///,3,N,N,N,N,N,N,N,N,N,WOODLYN,PA,DELAWARE
15904,"JOHNSTOWN, PA",611///,3,N,N,N,N,N,N,N,N,N,JOHNSTOWN,PA,CAMBRIA
15864,"SUMMERVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,SUMMERVILLE,PA,JEFFERSON
15823,"BROCKPORT, PA",813///,3,N,N,N,N,N,N,N,N,N,BROCKPORT,PA,ELK
15774,"SHELOCTA, PA",813///,3,3,N,N,N,N,N,N,N,N,SHELOCTA,PA,INDIANA
15773,"SAINT BENEDICT, PA",813///,3,N,N,N,N,N,N,N,N,N,SAINT BENEDICT,PA,CAMBRIA
15772,"ROSSITER, PA",813///,3,N,N,N,N,N,N,N,N,N,ROSSITER,PA,INDIANA
15729,"COMMODORE, PA",813///,3,3,N,N,N,N,N,N,N,N,COMMODORE,PA,INDIANA
15724,"CHERRY TREE, PA",813///,3,3,N,N,N,N,N,N,N,N,CHERRY TREE,PA,INDIANA
15717,"BLAIRSVILLE, PA",611///,3,N,N,N,N,N,N,N,N,N,BLAIRSVILLE,PA,INDIANA
19079,"SHARON HILL, PA",611///,3,N,N,N,N,N,N,N,N,N,SHARON HILL,PA,DELAWARE
15243,"PITTSBURGH, PA",611///,3,3,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
16840,"HAWK RUN, PA",813///,3,3,N,N,N,N,N,N,N,N,HAWK RUN,PA,CLEARFIELD
16928,"KNOXVILLE, PA",813///,3,N,N,N,N,N,N,N,N,N,KNOXVILLE,PA,TIOGA
17744,"LINDEN, PA",813///,3,3,N,N,N,N,N,N,N,N,LINDEN,PA,LYCOMING
18252,"TAMAQUA, PA",611///,3,N,N,N,N,N,N,N,N,N,TAMAQUA,PA,SCHUYLKILL
17604,"LANCASTER, PA",813///,3,N,N,N,N,N,N,N,N,N,LANCASTER,PA,LANCASTER
18325,"CANADENSIS, PA",813///,3,N,N,N,N,N,N,N,N,N,CANADENSIS,PA,MONROE
18334,"LONG POND, PA",813///,3,N,N,N,N,N,N,N,N,N,LONG POND,PA,MONROE
17584,"WILLOW STREET, PA",611///,3,N,N,N,N,N,N,N,N,N,WILLOW STREET,PA,LANCASTER
17754,"MONTOURSVILLE, PA",611///,3,N,N,N,N,N,N,N,N,N,MONTOURSVILLE,PA,LYCOMING
17581,"TERRE HILL, PA",813///,3,N,N,N,N,N,N,N,N,N,TERRE HILL,PA,LANCASTER
17560,"NEW PROVIDENCE, PA",813///,3,N,N,N,N,N,N,N,N,N,NEW PROVIDENCE,PA,LANCASTER
18346,"POCONO SUMMIT, PA",813///,3,3,N,N,N,N,N,N,N,N,POCONO SUMMIT,PA,MONROE
17557,"NEW HOLLAND, PA",611///,3,N,N,N,N,N,N,N,N,N,NEW HOLLAND,PA,LANCASTER
17555,"NARVON, PA",813///,3,N,N,N,N,N,N,N,N,N,NARVON,PA,LANCASTER
18347,"POCONO LAKE, PA",813///,3,N,N,N,N,N,N,N,N,N,POCONO LAKE,PA,MONROE
17535,"KINZERS, PA",813///,3,3,N,N,N,N,N,N,N,N,KINZERS,PA,LANCASTER
18343,"MOUNT BETHEL, PA",813///,3,N,N,N,N,N,N,N,N,N,MOUNT BETHEL,PA,NORTHAMPTON
18240,"NESQUEHONING, PA",813///,3,N,N,N,N,N,N,N,N,N,NESQUEHONING,PA,CARBON
18237,"MCADOO, PA",813///,3,N,N,N,N,N,N,N,N,N,MCADOO,PA,SCHUYLKILL
17771,"TROUT RUN, PA",813///,3,N,N,N,N,N,N,N,N,N,TROUT RUN,PA,LYCOMING
18068,"OLD ZIONSVILLE, PA",813///,3,N,N,N,N,N,N,N,N,N,OLD ZIONSVILLE,PA,LEHIGH
18073,"PENNSBURG, PA",611///,3,N,N,N,N,N,N,N,N,N,PENNSBURG,PA,MONTGOMERY
18034,"CENTER VALLEY, PA",611///,3,N,N,N,N,N,N,N,N,N,CENTER VALLEY,PA,LEHIGH
18032,"CATASAUQUA, PA",611///,3,N,N,N,N,N,N,N,N,N,CATASAUQUA,PA,LEHIGH
18078,"SCHNECKSVILLE, PA",611///,3,3,N,N,N,N,N,N,N,N,SCHNECKSVILLE,PA,LEHIGH
18084,"SUMNEYTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,SUMNEYTOWN,PA,MONTGOMERY
17983,"VALLEY VIEW, PA",813///,3,N,N,N,N,N,N,N,N,N,VALLEY VIEW,PA,SCHUYLKILL
17970,"SAINT CLAIR, PA",813///,3,N,N,N,N,N,N,N,N,N,SAINT CLAIR,PA,SCHUYLKILL
17960,"NEW RINGGOLD, PA",813///,3,N,N,N,N,N,N,N,N,N,NEW RINGGOLD,PA,SCHUYLKILL
18105,"ALLENTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,ALLENTOWN,PA,LEHIGH
17889,"WINFIELD, PA",813///,3,N,N,N,N,N,N,N,N,N,WINFIELD,PA,UNION
17859,"ORANGEVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,ORANGEVILLE,PA,COLUMBIA
18202,"HAZLETON, PA",611///,3,N,N,N,N,N,N,N,N,N,HAZLETON,PA,LUZERNE
17855,"NEW BERLIN, PA",813///,3,N,N,N,N,N,N,N,N,N,NEW BERLIN,PA,UNION
17844,"MIFFLINBURG, PA",611///,3,N,N,N,N,N,N,N,N,N,MIFFLINBURG,PA,UNION
17527,"GAP, PA",611///,3,N,N,N,N,N,N,N,N,N,GAP,PA,LANCASTER
16870,"PORT MATILDA, PA",611///,3,N,N,N,N,N,N,N,N,N,PORT MATILDA,PA,CENTRE
17512,"COLUMBIA, PA",611///,3,N,N,N,N,N,N,N,N,N,COLUMBIA,PA,LANCASTER
18428,"HAWLEY, PA",611///,3,N,N,N,N,N,N,N,N,N,HAWLEY,PA,PIKE
17070,"NEW CUMBERLAND, PA",611///,3,N,N,N,N,N,N,N,N,N,NEW CUMBERLAND,PA,YORK
17064,"MOUNT GRETNA, PA",813///,3,N,N,N,N,N,N,N,N,N,MOUNT GRETNA,PA,LEBANON
18833,"NEW ALBANY, PA",813///,3,3,N,N,N,N,N,N,N,N,NEW ALBANY,PA,BRADFORD
18847,"SUSQUEHANNA, PA",813///,3,N,N,N,N,N,N,N,N,N,SUSQUEHANNA,PA,SUSQUEHANNA
18848,"TOWANDA, PA",611///,3,N,N,N,N,N,N,N,N,N,TOWANDA,PA,BRADFORD
18902,"DOYLESTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,DOYLESTOWN,PA,BUCKS
17074,"NEWPORT, PA",611///,3,N,N,N,N,N,N,N,N,N,NEWPORT,PA,PERRY
18912,"BUCKINGHAM, PA",813///,3,N,N,N,N,N,N,N,N,N,BUCKINGHAM,PA,BUCKS
17017,"DALMATIA, PA",813///,3,N,N,N,N,N,N,N,N,N,DALMATIA,PA,NORTHUMBERLAND
17010,"CAMPBELLTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,CAMPBELLTOWN,PA,LEBANON
17005,"BERRYSBURG, PA",813///,3,N,N,N,N,N,N,N,N,N,BERRYSBURG,PA,DAUPHIN
17004,"BELLEVILLE, PA",611///,3,N,N,N,N,N,N,N,N,N,BELLEVILLE,PA,MIFFLIN
17002,"ALLENSVILLE, PA",813///,3,N,N,N,N,N,N,N,N,N,ALLENSVILLE,PA,MIFFLIN
18947,"PIPERSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,PIPERSVILLE,PA,BUCKS
18915,"COLMAR, PA",611///,3,N,N,N,N,N,N,N,N,N,COLMAR,PA,MONTGOMERY
18705,"WILKES BARRE, PA",611///,3,N,N,N,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
17098,"WILLIAMSTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,WILLIAMSTOWN,PA,DAUPHIN
18660,"WAPWALLOPEN, PA",813///,3,3,N,N,N,N,N,N,N,N,WAPWALLOPEN,PA,LUZERNE
18431,"HONESDALE, PA",611///,3,N,N,N,N,N,N,N,N,N,HONESDALE,PA,WAYNE
18445,"NEWFOUNDLAND, PA",813///,3,N,N,N,N,N,N,N,N,N,NEWFOUNDLAND,PA,WAYNE
17365,"WELLSVILLE, PA",813///,3,N,N,N,N,N,N,N,N,N,WELLSVILLE,PA,YORK
18507,"MOOSIC, PA",611///,3,N,N,N,N,N,N,N,N,N,MOOSIC,PA,LACKAWANNA
17309,"BROGUE, PA",813///,3,3,N,N,N,N,N,N,N,N,BROGUE,PA,YORK
17306,"BENDERSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,BENDERSVILLE,PA,ADAMS
17267,"WARFORDSBURG, PA",813///,3,3,N,N,N,N,N,N,N,N,WARFORDSBURG,PA,FULTON
17264,"THREE SPRINGS, PA",813///,3,3,N,N,N,N,N,N,N,N,THREE SPRINGS,PA,HUNTINGDON
17263,"STATE LINE, PA",813///,3,3,N,N,N,N,N,N,N,N,STATE LINE,PA,FRANKLIN
17254,"SCOTLAND, PA",813///,3,N,N,N,N,N,N,N,N,N,SCOTLAND,PA,FRANKLIN
17235,"MARION, PA",813///,3,3,N,N,N,N,N,N,N,N,MARION,PA,FRANKLIN
18603,"BERWICK, PA",611///,3,N,N,N,N,N,N,N,N,N,BERWICK,PA,COLUMBIA
18610,"BLAKESLEE, PA",813///,3,N,N,N,N,N,N,N,N,N,BLAKESLEE,PA,MONROE
17214,"BLUE RIDGE SUMMIT, PA",813///,3,3,N,N,N,N,N,N,N,N,BLUE RIDGE SUMMIT,PA,FRANKLIN
18614,"DUSHORE, PA",813///,3,N,N,N,N,N,N,N,N,N,DUSHORE,PA,SULLIVAN
18427,"HAMLIN, PA",813///,3,3,N,N,N,N,N,N,N,N,HAMLIN,PA,WAYNE
15239,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
18058,"KUNKLETOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,KUNKLETOWN,PA,MONROE
19503,"BALLY, PA",813///,3,N,N,N,N,N,N,N,N,N,BALLY,PA,BERKS
19474,"SKIPPACK, PA",813///,3,N,N,N,N,N,N,N,N,N,SKIPPACK,PA,MONTGOMERY
15052,"INDUSTRY, PA",813///,3,N,N,N,N,N,N,N,N,N,INDUSTRY,PA,BEAVER
19474,"SKIPPACK, PA",611///,3,N,N,N,N,N,N,N,N,N,SKIPPACK,PA,MONTGOMERY
19363,"OXFORD, PA",611///,3,N,N,N,N,N,N,N,N,N,OXFORD,PA,CHESTER
19609,"READING, PA",611///,3,N,N,N,N,N,N,N,N,N,READING,PA,BERKS
15005,"BADEN, PA",611///,3,N,N,N,N,N,N,N,N,N,BADEN,PA,BEAVER
19437,"GWYNEDD VALLEY, PA",813///,3,N,N,N,N,N,N,N,N,N,GWYNEDD VALLEY,PA,MONTGOMERY
19390,"WEST GROVE, PA",611///,3,N,N,N,N,N,N,N,N,N,WEST GROVE,PA,CHESTER
15060,"MIDWAY, PA",813///,3,3,N,N,N,N,N,N,N,N,MIDWAY,PA,WASHINGTON
15223,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
19605,"READING, PA",611///,3,N,N,N,N,N,N,N,N,N,READING,PA,BERKS
19518,"DOUGLASSVILLE, PA",611///,3,N,N,N,N,N,N,N,N,N,DOUGLASSVILLE,PA,BERKS
15116,"GLENSHAW, PA",611///,3,N,N,N,N,N,N,N,N,N,GLENSHAW,PA,ALLEGHENY
19560,"TEMPLE, PA",611///,3,N,3,N,N,N,N,N,N,N,TEMPLE,PA,BERKS
15227,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
15202,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
19409,"FAIRVIEW VILLAGE, PA",813///,3,N,N,N,N,N,N,N,N,N,FAIRVIEW VILLAGE,PA,MONTGOMERY
15050,"HOOKSTOWN, PA",813///,3,3,N,N,N,N,N,N,N,N,HOOKSTOWN,PA,BEAVER
19508,"BIRDSBORO, PA",611///,3,N,N,N,N,N,N,N,N,N,BIRDSBORO,PA,BERKS
19562,"TOPTON, PA",813///,3,N,N,N,N,N,N,N,N,N,TOPTON,PA,BERKS
15007,"BAKERSTOWN, PA",813///,3,N,N,3,N,N,N,N,N,N,BAKERSTOWN,PA,ALLEGHENY
19343,"GLENMOORE, PA",611///,3,N,N,N,N,N,N,N,N,N,GLENMOORE,PA,CHESTER
15027,"CONWAY, PA",813///,3,N,N,N,N,N,N,N,N,N,CONWAY,PA,BEAVER
15147,"VERONA, PA",611///,3,N,N,N,N,N,N,N,N,N,VERONA,PA,ALLEGHENY
15132,"MCKEESPORT, PA",611///,3,N,N,N,N,N,N,N,N,N,MCKEESPORT,PA,ALLEGHENY
19541,"MOHRSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,MOHRSVILLE,PA,BERKS
19539,"MERTZTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,MERTZTOWN,PA,BERKS
15068,"NEW KENSINGTON, PA",611///,3,N,N,N,N,N,N,N,N,N,NEW KENSINGTON,PA,WESTMORELAND
19475,"SPRING CITY, PA",611///,3,N,N,N,N,N,N,N,N,N,SPRING CITY,PA,CHESTER
15140,"PITCAIRN, PA",813///,3,N,N,N,N,N,N,N,N,N,PITCAIRN,PA,ALLEGHENY
19534,"LENHARTSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,LENHARTSVILLE,PA,BERKS
15074,"ROCHESTER, PA",611///,3,N,N,N,N,N,N,N,N,N,ROCHESTER,PA,BEAVER
15067,"NEW EAGLE, PA",813///,3,3,N,N,N,N,N,N,N,N,NEW EAGLE,PA,WASHINGTON
19482,"VALLEY FORGE, PA",813///,3,N,N,N,N,N,N,N,N,N,VALLEY FORGE,PA,CHESTER
15209,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
19352,"LINCOLN UNIVERSITY, PA",611///,3,N,N,N,N,N,N,N,N,N,LINCOLN UNIVERSITY,PA,CHESTER
19477,"SPRING HOUSE, PA",611///,3,N,N,N,N,N,N,N,N,N,SPRING HOUSE,PA,MONTGOMERY
15207,"PITTSBURGH, PA",611///,3,N,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
19525,"GILBERTSVILLE, PA",611///,3,N,N,3,N,N,N,N,N,N,GILBERTSVILLE,PA,MONTGOMERY
15033,"DONORA, PA",813///,3,3,N,N,N,N,N,N,N,N,DONORA,PA,WASHINGTON
15139,"OAKMONT, PA",611///,3,N,N,N,N,N,N,N,N,N,OAKMONT,PA,ALLEGHENY
15034,"DRAVOSBURG, PA",813///,4,N,N,N,N,N,N,N,N,N,DRAVOSBURG,PA,ALLEGHENY
19015,"BROOKHAVEN, PA",611///,4,N,N,N,N,N,N,N,N,N,BROOKHAVEN,PA,DELAWARE
16428,"NORTH EAST, PA",611///,4,3,N,N,N,N,N,N,N,N,NORTH EAST,PA,ERIE
19022,"CRUM LYNNE, PA",813///,4,N,N,N,N,N,N,N,N,N,CRUM LYNNE,PA,DELAWARE
16442,"WATTSBURG, PA",813///,4,3,N,N,N,N,N,N,N,N,WATTSBURG,PA,ERIE
16434,"SPARTANSBURG, PA",813///,4,3,N,N,N,N,N,N,N,N,SPARTANSBURG,PA,CRAWFORD
16443,"WEST SPRINGFIELD, PA",813///,4,3,N,N,N,N,N,N,N,N,WEST SPRINGFIELD,PA,ERIE
16641,"GALLITZIN, PA",813///,4,4,N,N,N,N,N,N,N,N,GALLITZIN,PA,CAMBRIA
17721,"AVIS, PA",813///,4,N,N,N,N,N,N,N,N,N,AVIS,PA,CLINTON
19480,"UWCHLAND, PA",813///,4,N,N,N,N,N,N,N,N,N,UWCHLAND,PA,CHESTER
15201,"PITTSBURGH, PA",611///,4,3,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
15148,"WILMERDING, PA",813///,4,N,N,N,N,N,N,N,N,N,WILMERDING,PA,ALLEGHENY
16646,"HASTINGS, PA",813///,4,N,N,N,N,N,N,N,N,N,HASTINGS,PA,CAMBRIA
19043,"HOLMES, PA",813///,4,N,3,N,N,N,N,N,N,N,HOLMES,PA,DELAWARE
16353,"TIONESTA, PA",813///,4,4,N,N,N,N,N,N,N,N,TIONESTA,PA,FOREST
17752,"MONTGOMERY, PA",813///,4,3,N,N,N,N,N,N,N,N,MONTGOMERY,PA,LYCOMING
16037,"HARMONY, PA",813///,4,3,N,N,N,N,N,N,N,N,HARMONY,PA,BUTLER
15014,"BRACKENRIDGE, PA",813///,4,N,N,N,N,N,N,N,N,N,BRACKENRIDGE,PA,ALLEGHENY
17853,"MOUNT PLEASANT MILLS, PA",813///,4,4,N,N,N,N,N,N,N,N,MOUNT PLEASANT MILLS,PA,SNYDER
16052,"PROSPECT, PA",813///,4,3,N,N,N,N,N,N,N,N,PROSPECT,PA,BUTLER
19442,"KIMBERTON, PA",813///,4,4,N,N,N,N,N,N,N,N,KIMBERTON,PA,CHESTER
16063,"ZELIENOPLE, PA",611///,4,N,N,N,N,N,N,N,N,N,ZELIENOPLE,PA,BUTLER
19076,"PROSPECT PARK, PA",813///,4,3,N,N,N,N,N,N,N,N,PROSPECT PARK,PA,DELAWARE
16102,"NEW CASTLE, PA",813///,4,4,N,N,N,N,N,N,N,N,NEW CASTLE,PA,LAWRENCE
16103,"NEW CASTLE, PA",813///,4,3,N,N,N,N,N,N,N,N,NEW CASTLE,PA,LAWRENCE
17846,"MILLVILLE, PA",813///,4,N,N,N,N,N,N,N,N,N,MILLVILLE,PA,COLUMBIA
19565,"WERNERSVILLE, PA",813///,4,N,N,N,N,N,N,N,N,N,WERNERSVILLE,PA,BERKS
16143,"PULASKI, PA",813///,4,4,N,N,N,N,N,N,N,N,PULASKI,PA,LAWRENCE
16145,"SANDY LAKE, PA",813///,4,3,N,N,N,N,N,N,N,N,SANDY LAKE,PA,MERCER
17834,"KULPMONT, PA",813///,4,4,N,N,N,N,N,N,N,N,KULPMONT,PA,NORTHUMBERLAND
16154,"TRANSFER, PA",813///,4,3,N,N,N,N,N,N,N,N,TRANSFER,PA,MERCER
16156,"VOLANT, PA",813///,4,N,3,N,N,N,N,N,N,N,VOLANT,PA,LAWRENCE
19453,"MONT CLARE, PA",813///,4,4,N,N,N,N,N,N,N,N,MONT CLARE,PA,MONTGOMERY
15025,"CLAIRTON, PA",611///,4,3,N,N,N,N,N,N,N,N,CLAIRTON,PA,ALLEGHENY
16371,"YOUNGSVILLE, PA",813///,4,N,N,N,N,N,N,N,N,N,YOUNGSVILLE,PA,WARREN
16364,"VENUS, PA",813///,4,3,N,N,N,N,N,N,N,N,VENUS,PA,VENANGO
16347,"SHEFFIELD, PA",813///,4,3,N,N,N,N,N,N,N,N,SHEFFIELD,PA,WARREN
16341,"PLEASANTVILLE, PA",813///,4,4,N,N,N,N,N,N,N,N,PLEASANTVILLE,PA,VENANGO
17810,"ALLENWOOD, PA",813///,4,4,N,N,N,N,N,N,N,N,ALLENWOOD,PA,LYCOMING
19044,"HORSHAM, PA",611///,4,N,N,N,N,N,N,N,N,N,HORSHAM,PA,MONTGOMERY
18232,"LANSFORD, PA",813///,4,N,N,N,N,N,N,N,N,N,LANSFORD,PA,CARBON
15204,"PITTSBURGH, PA",813///,4,3,N,N,N,N,N,N,N,N,PITTSBURGH,PA,ALLEGHENY
16248,"RIMERSBURG, PA",813///,4,3,N,N,N,N,N,N,N,N,RIMERSBURG,PA,CLARION
19456,"OAKS, PA",611///,4,3,N,N,N,N,N,N,N,N,OAKS,PA,MONTGOMERY
16222,"DAYTON, PA",813///,4,3,N,N,N,N,N,N,N,N,DAYTON,PA,ARMSTRONG
19060,"GARNET VALLEY, PA",611///,4,3,N,N,N,N,N,N,N,N,GARNET VALLEY,PA,DELAWARE
16214,"CLARION, PA",611///,4,3,N,N,N,N,N,N,N,N,CLARION,PA,CLARION
16301,"OIL CITY, PA",611///,4,N,N,N,N,N,N,N,N,N,OIL CITY,PA,VENANGO
16701,"BRADFORD, PA",611///,4,N,N,N,N,N,N,N,N,N,BRADFORD,PA,MCKEAN
16854,"MILLHEIM, PA",813///,4,N,N,N,N,N,N,N,N,N,MILLHEIM,PA,CENTRE
17578,"STEVENS, PA",813///,4,N,N,N,N,N,N,N,N,N,STEVENS,PA,LANCASTER
17072,"NEW KINGSTOWN, PA",813///,4,N,3,N,N,N,N,N,N,N,NEW KINGSTOWN,PA,CUMBERLAND
